제품명,가격,지원보드규격,VGA(GPU)길이,CPU쿨러 높이
darkFlash DS950V ARGB 디스플레이,92660,"ATX, ATX, M-ATX, ATX",400mm,180mm
darkFlash DMO11,18680,"M-ATX, M-ATX, ATX",270mm,165mm
Antec FLUX M MESH,77120,"M-ATX, M-ATX",405mm,175mm
DAVEN AQUA Lite,18490,"M-ATX, M-ATX, ATX",280mm,165mm
리안리 O11 VISION COMPACT,207000,"ATX, E-ATX, ATX, ATX, M-ATX, ATX",408mm,164mm
DAVEN AQUARIUM 미니,35580,"M-ATX, M-ATX, ATX",430mm,160mm
DAVEN U300,36110,"M-ATX, M-ATX, ATX",310mm,135mm
마이크로닉스 WIZMAX CHILL 세븐팬,47060,"ATX, E-ATX, ATX, M-ATX, ATX",400mm,165mm
앱코 U30 마린,39900,"ATX, ATX, M-ATX, ATX",400mm,165mm
마이크로닉스 WIZMAX 슬로프,92460,"ATX, ATX, ATX, M-ATX, M-ATX, ATX",430mm,175mm
DAVEN D9 Mesh 나인팬,56940,"ATX, E-ATX, ATX, M-ATX, ATX",430mm,170mm
Fractal Design North XL Momentum Edition,353710,"E-ATX, ATX, ATX, M-ATX, M-ATX, ATX",413mm,176mm
DEEPCOOL CH170 PLUS,81540,M-ATX,342mm,164mm
darkFlash DS500 RGB (블랙),39350,"ATX, ATX, M-ATX, ATX",405mm,165mm
DAVEN D7 Mesh 세븐팬 (블랙),47110,"ATX, ATX, M-ATX, ATX",400mm,170mm
마이크로닉스 WIZMAX 우드리안 MAX,84340,"ATX, ATX, ATX, M-ATX, M-ATX, ATX",410mm,160mm
잘만 N30 백사십 (블랙),37200,"ATX, ATX, M-ATX",430mm,180mm
DAVEN D7 Mesh 세븐팬,47110,"ATX, ATX, M-ATX, ATX",400mm,170mm
앱코 G50 빅플로우 MESH ARGB BTF,89000,"ATX, E-ATX, ATX, ATX, M-ATX, M-ATX, ATX",408mm,180mm
darkFlash DS500 RGB,39350,"ATX, ATX, M-ATX, ATX",405mm,165mm
잘만 N30 백사십,37200,"ATX, ATX, M-ATX",430mm,180mm
3RSYS L600 Quiet,86600,"ATX, E-ATX, ATX, M-ATX, ATX",400mm,180mm
3RSYS S480 WOOD BTF (블랙),61990,"ATX, ATX, ATX, M-ATX, M-ATX",400mm,162mm
1stPlayer RT7 라운드 ARGB (화이트),98890,"ATX, ATX, M-ATX, ATX",410mm,157mm
마이크로닉스 WIZMAX 우드리안 MAX,84340,"ATX, ATX, ATX, M-ATX, M-ATX, ATX",410mm,160mm
DAVEN 벤투스 420 MESH ARGB,94810,"ATX, ATX, ATX, M-ATX, M-ATX, ATX",395mm,175mm
darkFlash DPF70 ARGB,57680,"ATX, ATX, M-ATX, ATX",410mm,160mm
마이크로닉스 WIZMAX 스텔라,92440,"ATX, ATX, ATX, M-ATX, M-ATX, ATX",425mm,175mm
Antec C8 MESH,132880,"ATX, E-ATX, ATX, M-ATX",440mm,175mm
MONTECH HS02 PRO BTF (블랙),144410,"ATX, ATX, ATX, M-ATX, M-ATX",420mm,175mm
컴이지 킹덤 비바리움 미니,29720,"M-ATX, M-ATX, ATX",350mm,165mm
darkFlash DS900 ARGB 강화유리,57320,"ATX, ATX, M-ATX, ATX",425mm,170mm
DAVEN AQUA 다이버,37770,"ATX, E-ATX, ATX, M-ATX, ATX",400mm,165mm
darkFlash DLX21 RGB MESH 강화유리,93500,"ATX, E-ATX, ATX, M-ATX, ATX",400mm,180mm
앱코 UD51 엑시드 ARGB BTF,89000,"ATX, E-ATX, ATX, M-ATX, ATX",400mm,160mm
3RSYS T2000 Quiet,119800,"ATX, E-ATX, ATX, M-ATX",420mm,180mm
Antec FLUX PRO MESH,247920,"ATX, E-ATX, ATX, M-ATX",455mm,190mm
darkFlash DS950V ARGB 디스플레이,92660,"ATX, ATX, M-ATX, ATX",400mm,180mm
darkFlash DMO11,18680,"M-ATX, M-ATX, ATX",270mm,165mm
Antec FLUX M MESH,77120,"M-ATX, M-ATX",405mm,175mm
DAVEN AQUA Lite,18490,"M-ATX, M-ATX, ATX",280mm,165mm
리안리 O11 VISION COMPACT,207000,"ATX, E-ATX, ATX, ATX, M-ATX, ATX",408mm,164mm
DAVEN AQUARIUM 미니,35580,"M-ATX, M-ATX, ATX",430mm,160mm
DAVEN U300,36110,"M-ATX, M-ATX, ATX",310mm,135mm
마이크로닉스 WIZMAX CHILL 세븐팬,47060,"ATX, E-ATX, ATX, M-ATX, ATX",400mm,165mm
앱코 U30 마린,39900,"ATX, ATX, M-ATX, ATX",400mm,165mm
마이크로닉스 WIZMAX 슬로프,92460,"ATX, ATX, ATX, M-ATX, M-ATX, ATX",430mm,175mm
DAVEN D9 Mesh 나인팬,56940,"ATX, E-ATX, ATX, M-ATX, ATX",430mm,170mm
Fractal Design North XL Momentum Edition,353710,"E-ATX, ATX, ATX, M-ATX, M-ATX, ATX",413mm,176mm
DEEPCOOL CH170 PLUS,81540,M-ATX,342mm,164mm
잘만 N30 백사십 (블랙),37200,"ATX, ATX, M-ATX",430mm,180mm
darkFlash DS500 RGB (블랙),39350,"ATX, ATX, M-ATX, ATX",405mm,165mm
앱코 UD51 엑시드 ARGB BTF (블랙),89000,"ATX, E-ATX, ATX, M-ATX, ATX",400mm,160mm
DAVEN 벤투스 420 MESH ARGB (블랙),94810,"ATX, ATX, ATX, M-ATX, M-ATX, ATX",395mm,175mm
DAVEN D7 Mesh 세븐팬,47110,"ATX, ATX, M-ATX, ATX",400mm,170mm
앱코 G50 빅플로우 MESH ARGB BTF,89000,"ATX, E-ATX, ATX, ATX, M-ATX, M-ATX, ATX",408mm,180mm
darkFlash DS500 RGB,39350,"ATX, ATX, M-ATX, ATX",405mm,165mm
잘만 N30 백사십,37200,"ATX, ATX, M-ATX",430mm,180mm
3RSYS L600 Quiet,86600,"ATX, E-ATX, ATX, M-ATX, ATX",400mm,180mm
1stPlayer RT7 라운드 ARGB (화이트),98890,"ATX, ATX, M-ATX, ATX",410mm,157mm
3RSYS S480 WOOD BTF (블랙),61990,"ATX, ATX, ATX, M-ATX, M-ATX",400mm,162mm
마이크로닉스 WIZMAX 우드리안 MAX,84340,"ATX, ATX, ATX, M-ATX, M-ATX, ATX",410mm,160mm
DAVEN 벤투스 420 MESH ARGB,94810,"ATX, ATX, ATX, M-ATX, M-ATX, ATX",395mm,175mm
darkFlash DPF70 ARGB,57680,"ATX, ATX, M-ATX, ATX",410mm,160mm
마이크로닉스 WIZMAX 스텔라,92440,"ATX, ATX, ATX, M-ATX, M-ATX, ATX",425mm,175mm
Antec C8 MESH,132880,"ATX, E-ATX, ATX, M-ATX",440mm,175mm
컴이지 킹덤 비바리움 미니,29720,"M-ATX, M-ATX, ATX",350mm,165mm
darkFlash DS900 ARGB 강화유리,57320,"ATX, ATX, M-ATX, ATX",425mm,170mm
DAVEN AQUA 다이버,37770,"ATX, E-ATX, ATX, M-ATX, ATX",400mm,165mm
darkFlash DLX21 RGB MESH 강화유리,93500,"ATX, E-ATX, ATX, M-ATX, ATX",400mm,180mm
앱코 UD51 엑시드 ARGB BTF,89000,"ATX, E-ATX, ATX, M-ATX, ATX",400mm,160mm
3RSYS T2000 Quiet,119800,"ATX, E-ATX, ATX, M-ATX",420mm,180mm
Antec FLUX PRO MESH,247920,"ATX, E-ATX, ATX, M-ATX",455mm,190mm
darkFlash DS950V ARGB 디스플레이,92660,"ATX, ATX, M-ATX, ATX",400mm,180mm
darkFlash DMO11,18680,"M-ATX, M-ATX, ATX",270mm,165mm
Antec FLUX M MESH,77120,"M-ATX, M-ATX",405mm,175mm
Antec P30 MESH ARGB (블랙),96830,"ATX, ATX, M-ATX",405mm,175mm
DAVEN AQUA Lite,18490,"M-ATX, M-ATX, ATX",280mm,165mm
리안리 O11 VISION COMPACT,207000,"ATX, E-ATX, ATX, ATX, M-ATX, ATX",408mm,164mm
DAVEN AQUARIUM 미니,35580,"M-ATX, M-ATX, ATX",430mm,160mm
DAVEN U300,36110,"M-ATX, M-ATX, ATX",310mm,135mm
마이크로닉스 WIZMAX CHILL 세븐팬,47060,"ATX, E-ATX, ATX, M-ATX, ATX",400mm,165mm
앱코 U30 마린,39900,"ATX, ATX, M-ATX, ATX",400mm,165mm
마이크로닉스 WIZMAX 슬로프,92460,"ATX, ATX, ATX, M-ATX, M-ATX, ATX",430mm,175mm
DAVEN D9 Mesh 나인팬,56940,"ATX, E-ATX, ATX, M-ATX, ATX",430mm,170mm
Fractal Design North XL Momentum Edition,353710,"E-ATX, ATX, ATX, M-ATX, M-ATX, ATX",413mm,176mm
DEEPCOOL CH170 PLUS,81540,M-ATX,342mm,164mm
앱코 G50 빅플로우 MESH ARGB BTF (블랙),89000,"ATX, E-ATX, ATX, ATX, M-ATX, M-ATX, ATX",408mm,180mm
darkFlash DS500 RGB (블랙),39350,"ATX, ATX, M-ATX, ATX",405mm,165mm
잘만 N30 백사십 (블랙),37200,"ATX, ATX, M-ATX",430mm,180mm
마이크로닉스 WIZMAX 우드리안 MAX,84340,"ATX, ATX, ATX, M-ATX, M-ATX, ATX",410mm,160mm
DAVEN D7 Mesh 세븐팬,47110,"ATX, ATX, M-ATX, ATX",400mm,170mm
앱코 G50 빅플로우 MESH ARGB BTF,89000,"ATX, E-ATX, ATX, ATX, M-ATX, M-ATX, ATX",408mm,180mm
darkFlash DS500 RGB,39350,"ATX, ATX, M-ATX, ATX",405mm,165mm
잘만 N30 백사십,37200,"ATX, ATX, M-ATX",430mm,180mm
3RSYS L600 Quiet,86600,"ATX, E-ATX, ATX, M-ATX, ATX",400mm,180mm
앱코 G50 빅플로우 MESH ARGB BTF (블랙),89000,"ATX, E-ATX, ATX, ATX, M-ATX, M-ATX, ATX",408mm,180mm
마이크로닉스 WIZMAX 스텔라,92440,"ATX, ATX, ATX, M-ATX, M-ATX, ATX",425mm,175mm
마이크로닉스 WIZMAX 우드리안 MAX,84340,"ATX, ATX, ATX, M-ATX, M-ATX, ATX",410mm,160mm
DAVEN 벤투스 420 MESH ARGB,94810,"ATX, ATX, ATX, M-ATX, M-ATX, ATX",395mm,175mm
darkFlash DPF70 ARGB,57680,"ATX, ATX, M-ATX, ATX",410mm,160mm
마이크로닉스 WIZMAX 스텔라,92440,"ATX, ATX, ATX, M-ATX, M-ATX, ATX",425mm,175mm
Antec C8 MESH,132880,"ATX, E-ATX, ATX, M-ATX",440mm,175mm
MONTECH HS02 PRO BTF (블랙),144410,"ATX, ATX, ATX, M-ATX, M-ATX",420mm,175mm
컴이지 킹덤 비바리움 미니,29720,"M-ATX, M-ATX, ATX",350mm,165mm
darkFlash DS900 ARGB 강화유리,57320,"ATX, ATX, M-ATX, ATX",425mm,170mm
DAVEN AQUA 다이버,37770,"ATX, E-ATX, ATX, M-ATX, ATX",400mm,165mm
darkFlash DLX21 RGB MESH 강화유리,93500,"ATX, E-ATX, ATX, M-ATX, ATX",400mm,180mm
앱코 UD51 엑시드 ARGB BTF,89000,"ATX, E-ATX, ATX, M-ATX, ATX",400mm,160mm
3RSYS T2000 Quiet,119800,"ATX, E-ATX, ATX, M-ATX",420mm,180mm
Antec FLUX PRO MESH,247920,"ATX, E-ATX, ATX, M-ATX",455mm,190mm
darkFlash DS950V ARGB 디스플레이,92660,"ATX, ATX, M-ATX, ATX",400mm,180mm
darkFlash DMO11,18680,"M-ATX, M-ATX, ATX",270mm,165mm
Antec FLUX M MESH,77120,"M-ATX, M-ATX",405mm,175mm
DAVEN AQUA Lite,18490,"M-ATX, M-ATX, ATX",280mm,165mm
리안리 O11 VISION COMPACT,207000,"ATX, E-ATX, ATX, ATX, M-ATX, ATX",408mm,164mm
DAVEN AQUARIUM 미니,35580,"M-ATX, M-ATX, ATX",430mm,160mm
DAVEN U300,36110,"M-ATX, M-ATX, ATX",310mm,135mm
마이크로닉스 WIZMAX CHILL 세븐팬,47060,"ATX, E-ATX, ATX, M-ATX, ATX",400mm,165mm
앱코 U30 마린,39900,"ATX, ATX, M-ATX, ATX",400mm,165mm
마이크로닉스 WIZMAX 슬로프,92460,"ATX, ATX, ATX, M-ATX, M-ATX, ATX",430mm,175mm
DAVEN D9 Mesh 나인팬,56940,"ATX, E-ATX, ATX, M-ATX, ATX",430mm,170mm
Fractal Design North XL Momentum Edition,353710,"E-ATX, ATX, ATX, M-ATX, M-ATX, ATX",413mm,176mm
DEEPCOOL CH170 PLUS,81540,M-ATX,342mm,164mm
