제품명,가격
SK하이닉스 PC801 M.2 NVMe 벌크,339110
화웨이 eKitStor Xtreme 201 M.2 NVMe,504990
파이슨 ESO256GHLCJ-EL1 M.2 NVMe 벌크,61690
키오시아 EXCERIA PRO G2 M.2 NVMe,1369990
타무즈 M740 M.2 NVMe,253900
Seagate 파이어쿠다 X1070 M.2 NVMe,1868220
삼성전자 990 PRO M.2 NVMe 해외구매,689090
에이서 프레데터 GM7000 M.2 NVMe 해외구매,589500
키오시아 EXCERIA G3 M.2 NVMe,577990
ESSENCORE KLEVV CRAS C925G M.2 NVMe,501550
PATRIOT P300 M.2 NVMe,506780
마이크론 Crucial P310 M.2 NVMe 아스크텍,882100
키오시아 EXCERIA PLUS G3 M.2 NVMe,501980
ESSENCORE KLEVV CRAS C910 M.2 NVMe,846010
화웨이 eKitStor Xtreme 201 M.2 NVMe (1TB),299000
키오시아 EXCERIA PLUS G4 M.2 NVMe (1TB),315000
키오시아 EXCERIA PRO G2 M.2 NVMe (1TB),436680
Seagate 파이어쿠다 X1070 M.2 NVMe (1TB),496690
ESSENCORE KLEVV CRAS C910G M.2 NVMe,495730
삼성전자 990 PRO M.2 NVMe,1222840
삼성전자 870 EVO,2371990
키오시아 EXCERIA PLUS G4 M.2 NVMe,469900
Western Digital WD BLACK SN850X M.2 NVMe,2854510
삼성전자 980 M.2 NVMe,438990
삼성전자 9100 PRO M.2 NVMe,2412990
SK하이닉스 Gold P31 M.2 NVMe,750000
삼성전자 990 EVO Plus M.2 NVMe,1011000
SK하이닉스 Platinum P41 M.2 NVMe,578750
SK하이닉스 Platinum P51 M.2 NVMe,745150
ADATA LEGEND 900 M.2 NVMe 파인인포,597130
삼성전자 PM9A1 M.2 NVMe 벌크,590800
마이크론 Crucial P310 M.2 NVMe 대원씨티에스,355200
삼성전자 PM9C1 M.2 NVMe 벌크,306000
Seagate 파이어쿠다 530R M.2 NVMe,977010
SK하이닉스 PC801 M.2 NVMe 벌크,339110
화웨이 eKitStor Xtreme 201 M.2 NVMe,504990
파이슨 ESO256GHLCJ-EL1 M.2 NVMe 벌크,61690
키오시아 EXCERIA PRO G2 M.2 NVMe,1369990
타무즈 M740 M.2 NVMe,253900
Seagate 파이어쿠다 X1070 M.2 NVMe,1868220
삼성전자 990 PRO M.2 NVMe 해외구매,689090
에이서 프레데터 GM7000 M.2 NVMe 해외구매,589500
키오시아 EXCERIA G3 M.2 NVMe,577990
ESSENCORE KLEVV CRAS C925G M.2 NVMe,501550
PATRIOT P300 M.2 NVMe,506780
마이크론 Crucial P310 M.2 NVMe 아스크텍,882100
키오시아 EXCERIA PLUS G3 M.2 NVMe,501980
ESSENCORE KLEVV CRAS C910 M.2 NVMe,846010
키오시아 EXCERIA PRO G2 M.2 NVMe (1TB),436680
ESSENCORE KLEVV CRAS C910G M.2 NVMe (1TB),275920
키오시아 EXCERIA PLUS G4 M.2 NVMe (1TB),315000
타무즈 M740 M.2 NVMe (512GB),147830
ESSENCORE KLEVV CRAS C910G M.2 NVMe,495730
삼성전자 990 PRO M.2 NVMe,1222840
삼성전자 870 EVO,2371990
키오시아 EXCERIA PLUS G4 M.2 NVMe,469900
Western Digital WD BLACK SN850X M.2 NVMe,2854510
삼성전자 980 M.2 NVMe,438990
삼성전자 9100 PRO M.2 NVMe,2412990
SK하이닉스 Gold P31 M.2 NVMe,750000
삼성전자 990 EVO Plus M.2 NVMe,1011000
SK하이닉스 Platinum P41 M.2 NVMe,578750
SK하이닉스 Platinum P51 M.2 NVMe,745150
ADATA LEGEND 900 M.2 NVMe 파인인포,597130
삼성전자 PM9A1 M.2 NVMe 벌크,590800
마이크론 Crucial P310 M.2 NVMe 대원씨티에스,355200
삼성전자 PM9C1 M.2 NVMe 벌크,306000
Seagate 파이어쿠다 530R M.2 NVMe,977010
SK하이닉스 PC801 M.2 NVMe 벌크,339110
화웨이 eKitStor Xtreme 201 M.2 NVMe,504990
파이슨 ESO256GHLCJ-EL1 M.2 NVMe 벌크,61690
키오시아 EXCERIA PRO G2 M.2 NVMe,1369990
타무즈 M740 M.2 NVMe,253900
Seagate 파이어쿠다 X1070 M.2 NVMe,1868220
삼성전자 990 PRO M.2 NVMe 해외구매,689090
에이서 프레데터 GM7000 M.2 NVMe 해외구매,589500
키오시아 EXCERIA G3 M.2 NVMe,577990
ESSENCORE KLEVV CRAS C925G M.2 NVMe,501550
PATRIOT P300 M.2 NVMe,506780
마이크론 Crucial P310 M.2 NVMe 아스크텍,882100
키오시아 EXCERIA PLUS G3 M.2 NVMe,501980
ESSENCORE KLEVV CRAS C910 M.2 NVMe,846010
ADATA LEGEND 900 M.2 NVMe 파인인포 (512GB),181580
타무즈 M740 M.2 NVMe (512GB),147830
화웨이 eKitStor Xtreme 201 M.2 NVMe (1TB),299000
Seagate 파이어쿠다 X1070 M.2 NVMe (1TB),496690
ESSENCORE KLEVV CRAS C910G M.2 NVMe,495730
삼성전자 990 PRO M.2 NVMe,1222840
삼성전자 870 EVO,2371990
키오시아 EXCERIA PLUS G4 M.2 NVMe,469900
Western Digital WD BLACK SN850X M.2 NVMe,2854510
삼성전자 980 M.2 NVMe,438990
삼성전자 9100 PRO M.2 NVMe,2412990
SK하이닉스 Gold P31 M.2 NVMe,750000
삼성전자 990 EVO Plus M.2 NVMe,1011000
SK하이닉스 Platinum P41 M.2 NVMe,578750
SK하이닉스 Platinum P51 M.2 NVMe,745150
ADATA LEGEND 900 M.2 NVMe 파인인포,597130
삼성전자 PM9A1 M.2 NVMe 벌크,590800
마이크론 Crucial P310 M.2 NVMe 대원씨티에스,355200
삼성전자 PM9C1 M.2 NVMe 벌크,306000
Seagate 파이어쿠다 530R M.2 NVMe,977010
SK하이닉스 PC801 M.2 NVMe 벌크,339110
화웨이 eKitStor Xtreme 201 M.2 NVMe,504990
파이슨 ESO256GHLCJ-EL1 M.2 NVMe 벌크,61690
키오시아 EXCERIA PRO G2 M.2 NVMe,1369990
Seagate 파이어쿠다 X1070 M.2 NVMe (1TB),496690
타무즈 M740 M.2 NVMe,253900
Seagate 파이어쿠다 X1070 M.2 NVMe,1868220
삼성전자 990 PRO M.2 NVMe 해외구매,689090
에이서 프레데터 GM7000 M.2 NVMe 해외구매,589500
키오시아 EXCERIA G3 M.2 NVMe,577990
ESSENCORE KLEVV CRAS C925G M.2 NVMe,501550
PATRIOT P300 M.2 NVMe,506780
마이크론 Crucial P310 M.2 NVMe 아스크텍,882100
키오시아 EXCERIA PLUS G3 M.2 NVMe,501980
ESSENCORE KLEVV CRAS C910 M.2 NVMe,846010
