제품명,가격,파워사이즈,정격출력
마이크로닉스 Classic II 풀체인지 500W 80PLUS브론즈 ATX3.1,51250,ATX,500W
SuperFlower SF-850F14XG LEADEX VII GOLD ATX3.1,186580,ATX,850W
MONTECH CENTURY II 850 80PLUS골드 풀모듈러 ATX3.1,108230,ATX,850W
맥스엘리트 STARS GEMINI 750W 80PLUS브론즈 ATX3.1,61990,ATX,750W
마이크로닉스 Classic II 1050W 80PLUS골드 풀모듈러 ATX3.1 화이트,178820,ATX,1050W
마이크로닉스 Classic II 1050W 80PLUS골드 풀모듈러 ATX3.1,175460,ATX,1050W
마이크로닉스 Classic II 풀체인지 600W 80PLUS실버 ATX3.1,62020,ATX,600W
잘만 EcoMax 500W,33080,ATX,500W
SuperFlower SF-1200F14XP LEADEX VII PRO PLATINUM 블랙 ATX3.1,277980,ATX,1200W
SuperFlower SF-1000F14GE LEADEX III GOLD UP ATX3.1,180780,ATX,1000W
ASUS TUF Gaming 850W GOLD EVO 풀모듈러 ATX3.1,134500,ATX,850W
마이크로닉스 Classic II 풀체인지 650W 80PLUS스탠다드 ATX3.1,61020,ATX,650W
잘만 MegaMax II 700W 80PLUS브론즈 ATX3.1,66420,ATX,700W
쿨러마스터 MWE GOLD 850 V3 ATX3.1 블랙,93480,ATX,850W
시소닉 NEW FOCUS V4 GX-850 GOLD 풀모듈러 ATX3.1,197000,ATX,850W
엔티스 EG 1000W 80PLUS골드 풀모듈러 ATX3.1,98100,ATX,1000W
MSI MEG Ai1600T 80PLUS티타늄 풀모듈러 ATX3.1,678980,ATX,1600W
맥스엘리트 STARS CYGNUS 850W 80PLUS골드 풀모듈러 ATX3.1,114000,ATX,850W
엔티스 ES 800W 80PLUS스탠다드 ATX3.1,63490,ATX,800W
마이크로닉스 Classic II 풀체인지 500W 80PLUS실버 ATX3.1,54320,ATX,500W
SuperFlower SF-1200F14XP LEADEX VII PRO PLATINUM 화이트 ATX3.1,287290,ATX,1200W
마이크로닉스 Classic II 풀체인지 700W 80PLUS실버 ATX3.1,84420,ATX,700W
마이크로닉스 Classic II 850W 80PLUS골드 풀모듈러 ATX3.1,131790,ATX,850W
잘만 GigaMax III 850W 80PLUS브론즈 모듈러 ATX3.1,85120,ATX,850W
쿨러마스터 MWE GOLD 850 V3 ATX3.1 블랙,93480,ATX,850W
마이크로닉스 Classic II 850W 80PLUS골드 풀모듈러 ATX3.1,131790,ATX,850W
마이크로닉스 Classic II 풀체인지 700W 80PLUS실버 ATX3.1,84420,ATX,700W
darkFlash 퍼펙트모스트 850W 80PLUS골드 풀모듈러 ATX3.1 블랙,114300,ATX,850W
SuperFlower SF-1000F14XG LEADEX VII GOLD ATX3.1,215480,ATX,1000W
마이크로닉스 Classic II 풀체인지 700W 80PLUS브론즈 ATX3.1,82420,ATX,700W
맥스엘리트 STARS CYGNUS 1000W 80PLUS골드 풀모듈러 ATX3.1,158990,ATX,1000W
SuperFlower SF-1000F14XG LEADEX VII GOLD ATX3.1,215480,ATX,1000W
잘만 GigaMax III 850W 80PLUS브론즈 모듈러 ATX3.1,85120,ATX,850W
마이크로닉스 Classic II 풀체인지 600W 80PLUS브론즈 ATX3.1,61660,ATX,600W
마이크로닉스 Classic II 750W 80PLUS골드 풀모듈러 ATX3.1,113940,ATX,750W
마이크로닉스 Classic II 850W 80PLUS골드 풀모듈러 ATX3.1 화이트,146790,ATX,850W
시소닉 NEW FOCUS V4 GX-1000 GOLD 풀모듈러 ATX3.1,245000,ATX,1000W
마이크로닉스 Classic II 풀체인지 500W 80PLUS브론즈 ATX3.1,51250,ATX,500W
SuperFlower SF-850F14XG LEADEX VII GOLD ATX3.1,186580,ATX,850W
MONTECH CENTURY II 850 80PLUS골드 풀모듈러 ATX3.1,108230,ATX,850W
맥스엘리트 STARS GEMINI 750W 80PLUS브론즈 ATX3.1,61990,ATX,750W
마이크로닉스 Classic II 1050W 80PLUS골드 풀모듈러 ATX3.1 화이트,178820,ATX,1050W
마이크로닉스 Classic II 1050W 80PLUS골드 풀모듈러 ATX3.1,175460,ATX,1050W
마이크로닉스 Classic II 풀체인지 600W 80PLUS실버 ATX3.1,62020,ATX,600W
잘만 EcoMax 500W,33080,ATX,500W
SuperFlower SF-1200F14XP LEADEX VII PRO PLATINUM 블랙 ATX3.1,277980,ATX,1200W
SuperFlower SF-1000F14GE LEADEX III GOLD UP ATX3.1,180780,ATX,1000W
마이크로닉스 Classic II 풀체인지 650W 80PLUS스탠다드 ATX3.1,61020,ATX,650W
잘만 MegaMax II 700W 80PLUS브론즈 ATX3.1,66420,ATX,700W
쿨러마스터 MWE GOLD 850 V3 ATX3.1 블랙,93480,ATX,850W
시소닉 NEW FOCUS V4 GX-850 GOLD 풀모듈러 ATX3.1,197000,ATX,850W
엔티스 EG 1000W 80PLUS골드 풀모듈러 ATX3.1,98100,ATX,1000W
MSI MEG Ai1600T 80PLUS티타늄 풀모듈러 ATX3.1,678980,ATX,1600W
맥스엘리트 STARS CYGNUS 850W 80PLUS골드 풀모듈러 ATX3.1,114000,ATX,850W
엔티스 ES 800W 80PLUS스탠다드 ATX3.1,63490,ATX,800W
마이크로닉스 Classic II 풀체인지 500W 80PLUS실버 ATX3.1,54320,ATX,500W
SuperFlower SF-1200F14XP LEADEX VII PRO PLATINUM 화이트 ATX3.1,287290,ATX,1200W
MONTECH CENTURY II 850 80PLUS골드 풀모듈러 ATX3.1,108230,ATX,850W
잘만 GigaMax III 850W 80PLUS브론즈 모듈러 ATX3.1,85120,ATX,850W
SuperFlower SF-850F14XG LEADEX VII GOLD ATX3.1,186580,ATX,850W
마이크로닉스 Classic II 850W 80PLUS골드 풀모듈러 ATX3.1,131790,ATX,850W
마이크로닉스 Classic II 850W 80PLUS골드 풀모듈러 ATX3.1,131790,ATX,850W
마이크로닉스 Classic II 풀체인지 700W 80PLUS실버 ATX3.1,84420,ATX,700W
darkFlash 퍼펙트모스트 850W 80PLUS골드 풀모듈러 ATX3.1 블랙,114300,ATX,850W
SuperFlower SF-1000F14XG LEADEX VII GOLD ATX3.1,215480,ATX,1000W
마이크로닉스 Classic II 풀체인지 700W 80PLUS브론즈 ATX3.1,82420,ATX,700W
맥스엘리트 STARS CYGNUS 1000W 80PLUS골드 풀모듈러 ATX3.1,158990,ATX,1000W
SuperFlower SF-1000F14XG LEADEX VII GOLD ATX3.1,215480,ATX,1000W
잘만 GigaMax III 850W 80PLUS브론즈 모듈러 ATX3.1,85120,ATX,850W
마이크로닉스 Classic II 풀체인지 600W 80PLUS브론즈 ATX3.1,61660,ATX,600W
마이크로닉스 Classic II 750W 80PLUS골드 풀모듈러 ATX3.1,113940,ATX,750W
마이크로닉스 Classic II 850W 80PLUS골드 풀모듈러 ATX3.1 화이트,146790,ATX,850W
시소닉 NEW FOCUS V4 GX-1000 GOLD 풀모듈러 ATX3.1,245000,ATX,1000W
마이크로닉스 Classic II 풀체인지 500W 80PLUS브론즈 ATX3.1,51250,ATX,500W
SuperFlower SF-850F14XG LEADEX VII GOLD ATX3.1,186580,ATX,850W
MONTECH CENTURY II 850 80PLUS골드 풀모듈러 ATX3.1,108230,ATX,850W
맥스엘리트 STARS GEMINI 750W 80PLUS브론즈 ATX3.1,61990,ATX,750W
마이크로닉스 Classic II 1050W 80PLUS골드 풀모듈러 ATX3.1 화이트,178820,ATX,1050W
마이크로닉스 Classic II 1050W 80PLUS골드 풀모듈러 ATX3.1,175460,ATX,1050W
마이크로닉스 Classic II 풀체인지 600W 80PLUS실버 ATX3.1,62020,ATX,600W
잘만 EcoMax 500W,33080,ATX,500W
SuperFlower SF-1200F14XP LEADEX VII PRO PLATINUM 블랙 ATX3.1,277980,ATX,1200W
SuperFlower SF-1000F14GE LEADEX III GOLD UP ATX3.1,180780,ATX,1000W
마이크로닉스 Classic II 풀체인지 650W 80PLUS스탠다드 ATX3.1,61020,ATX,650W
잘만 MegaMax II 700W 80PLUS브론즈 ATX3.1,66420,ATX,700W
쿨러마스터 MWE GOLD 850 V3 ATX3.1 블랙,93480,ATX,850W
시소닉 NEW FOCUS V4 GX-850 GOLD 풀모듈러 ATX3.1,197000,ATX,850W
엔티스 EG 1000W 80PLUS골드 풀모듈러 ATX3.1,98100,ATX,1000W
MSI MEG Ai1600T 80PLUS티타늄 풀모듈러 ATX3.1,678980,ATX,1600W
맥스엘리트 STARS CYGNUS 850W 80PLUS골드 풀모듈러 ATX3.1,114000,ATX,850W
엔티스 ES 800W 80PLUS스탠다드 ATX3.1,63490,ATX,800W
마이크로닉스 Classic II 풀체인지 500W 80PLUS실버 ATX3.1,54320,ATX,500W
SuperFlower SF-1200F14XP LEADEX VII PRO PLATINUM 화이트 ATX3.1,287290,ATX,1200W
